url,alias,page_id,cluster,action,canonical_target,pillar_url,title,description,h1,schema_types,risk_flags,verification_status
https://moonn.ru/,,42678538,secondary,rewrite,https://moonn.ru/,https://moonn.ru/,Татьяна Мунн — психолог МГУ и эксперт по эмоциональному интеллекту,"Татьяна Мунн, психолог МГУ: консультации в Москве и онлайн, эмоциональный интеллект, подростки, экзамены, отзывы и запись.",Татьяна Мунн — психолог МГУ и эксперт по эмоциональному интеллекту,Person; WebSite; WebPage; BreadcrumbList,multiple_h1,packet_ready
https://moonn.ru/20251201,20251201,103166176,reviews_trust,rewrite,https://moonn.ru/20251201,https://moonn.ru/otzivi,Командировка преподавателя МГУ Татьяны Мунн в филиал МГУ в г,"Командировка преподавателя МГУ Татьяны Мунн в филиал МГУ в г: подтверждения опыта Татьяны Мунн, отзывы, мероприятия, лекции и внешние источники для проверки.",Командировка преподавателя МГУ Татьяны Мунн в филиал МГУ в г,Person; WebSite; WebPage; BreadcrumbList,,packet_ready
https://moonn.ru/20251213,20251213,103174846,reviews_trust,rewrite,https://moonn.ru/20251213,https://moonn.ru/otzivi,Татьяна Мунн выступит на Московской Неделе Интерьера и Дизайна —,"Татьяна Мунн выступит на Московской Неделе Интерьера и Дизайна —: подтверждения опыта Татьяны Мунн, отзывы, мероприятия, лекции и внешние источники для.",Татьяна Мунн выступит на Московской Неделе Интерьера и Дизайна —,Person; WebSite; WebPage; BreadcrumbList,,packet_ready
https://moonn.ru/20251216,20251216,103185256,reviews_trust,rewrite,https://moonn.ru/20251216,https://moonn.ru/otzivi,"16 декабря преподаватель, практикующий психолог и эксперт по","16 декабря преподаватель, практикующий психолог и эксперт по: подтверждения опыта Татьяны Мунн, отзывы, мероприятия, лекции и внешние источники для проверки.","16 декабря преподаватель, практикующий психолог и эксперт по",Person; WebSite; WebPage; BreadcrumbList,multiple_h1,packet_ready
https://moonn.ru/abuse_gaslight,abuse_gaslight,63684093,private_practice,rewrite,https://moonn.ru/abuse_gaslight,https://moonn.ru/psiholog,Абьюз и газлайтинг | — Татьяна Мунн,"Абьюз и газлайтинг |: консультации психолога Татьяны Мунн в Москве и онлайн без медицинских обещаний, с фокусом на эмоции, тревогу, отношения и устойчивость.",Абьюз и газлайтинг |,Person; WebSite; WebPage; BreadcrumbList; ProfessionalService,,packet_ready
https://moonn.ru/aromatherapy,aromatherapy,62470081,archive,noindex,,,Ароматерапия и эмоциональное состояние | — Татьяна Мунн,"Ароматерапия и эмоциональное состояние |: архивная страница проекта Татьяны Мунн, не используемая как основное SEO-направление.",Ароматерапия и эмоциональное состояние |,,deindex_until_rewritten; offtopic_entity_dilution,packet_ready
https://moonn.ru/article_diary_of_emotions,article_diary_of_emotions,62966623,private_practice,rewrite,https://moonn.ru/article_diary_of_emotions,https://moonn.ru/psiholog,Дневник эмоций — Татьяна Мунн,"Дневник эмоций: консультации психолога Татьяны Мунн в Москве и онлайн без медицинских обещаний, с фокусом на эмоции, тревогу, отношения и устойчивость.",Дневник эмоций,Person; WebSite; WebPage; BreadcrumbList; ProfessionalService; Article,,packet_ready
https://moonn.ru/article_femininity,article_femininity,64057747,private_practice,rewrite,https://moonn.ru/article_femininity,https://moonn.ru/psiholog,Женственность в отношениях — Татьяна Мунн,"Женственность в отношениях: консультации психолога Татьяны Мунн в Москве и онлайн без медицинских обещаний, с фокусом на эмоции, тревогу, отношения и.",Женственность в отношениях,Person; WebSite; WebPage; BreadcrumbList; ProfessionalService; Article,,packet_ready
https://moonn.ru/article_gadget_addiction,article_gadget_addiction,63692311,teen_exam_family,rewrite,https://moonn.ru/article_gadget_addiction,https://moonn.ru/psypodgotovka1,Зависимость подростков от гаджетов — Татьяна Мунн,"Зависимость подростков от гаджетов: психологическая поддержка подростков, студентов и родителей при тревоге, экзаменах, общении и учебной нагрузке.",Зависимость подростков от гаджетов,Person; WebSite; WebPage; BreadcrumbList; Article,,packet_ready
https://moonn.ru/article_toxic_job,article_toxic_job,64061157,private_practice,rewrite,https://moonn.ru/article_toxic_job,https://moonn.ru/psiholog,Негативные эмоции на работе — Татьяна Мунн,"Негативные эмоции на работе: консультации психолога Татьяны Мунн в Москве и онлайн без медицинских обещаний, с фокусом на эмоции, тревогу, отношения и.",Негативные эмоции на работе,Person; WebSite; WebPage; BreadcrumbList; ProfessionalService; Article,,packet_ready
https://moonn.ru/articles/eq-dlya-rukovoditeley,articles/eq-dlya-rukovoditeley,95349086,emotional_intelligence,rewrite,https://moonn.ru/articles/eq-dlya-rukovoditeley,https://moonn.ru/speaker,Эмоциональный интеллект руководителя — Татьяна Мунн,"Эмоциональный интеллект руководителя: лекции, статьи и программы Татьяны Мунн по эмоциональному интеллекту, саморегуляции, soft skills и устойчивости команд.",Эмоциональный интеллект руководителя,Person; WebSite; WebPage; BreadcrumbList; Article,,packet_ready
https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,baza-znaniy-emocionalnyy-intellekt-psihologiya,135534246,emotional_intelligence,redirect,https://moonn.ru/emotional-intelligence/knowledge-base,https://moonn.ru/speaker,База знаний по психологии и эмоциональному интеллекту | психолог —,"База знаний по психологии и эмоциональному интеллекту | психолог —: лекции, статьи и программы Татьяны Мунн по эмоциональному интеллекту, саморегуляции, soft.",База знаний по психологии и эмоциональному интеллекту | психолог —,Person; WebSite; WebPage; BreadcrumbList,canonical_consolidation,packet_ready
https://moonn.ru/call,call,58224157,secondary,keep_indexed,https://moonn.ru/call,https://moonn.ru/,Blank page — Татьяна Мунн,Blank page: публичная сервисная страница проекта Татьяны Мунн без статуса основного SEO-направления.,Blank page,Person; WebSite; WebPage; BreadcrumbList,missing_h1,packet_ready
