url,path,kind,action,cluster,issues,title,h1_count,rationale
https://moonn.ru/,/,home,public_support,trust_entity,"images_missing_alt, multiple_h1",Татьяна Мунн — психолог МГУ в Москве и онлайн,0,"Supports brand, proof, events, reviews and entity consistency."
https://moonn.ru/20251201,/20251201,other,review,unassigned_public,"canonical_mismatch, images_missing_alt, long_title",Командировка преподавателя МГУ Татьяны Мунн в филиал МГУ в г. Ташкенте (Узбекистан). 01–05 декабря 2025 года,0,Open URL needs manual cluster decision.
https://moonn.ru/20251213,/20251213,other,review,unassigned_public,"images_missing_alt, short_description",Татьяна Мунн выступит на Московской Неделе Интерьера и Дизайна,0,Open URL needs manual cluster decision.
https://moonn.ru/20251216,/20251216,other,review,unassigned_public,"images_missing_alt, long_description, long_title, multiple_h1","16 декабря преподаватель, практикующий психолог и эксперт по эмоциональному интеллекту Татьяна Мунн примет участие в Международной научно-практической конференции «Урбан-психология: вызовы нового времени и ответ мегаполиса», организованной факультетом пси",0,Open URL needs manual cluster decision.
https://moonn.ru/abuse_gaslight,/abuse_gaslight,other,public_support,private_practice_support,images_missing_alt,Абьюз и газлайтинг | психолог Татьяна Мунн,0,Supporting page; should link to the private-practice pillar and avoid medical overclaims.
https://moonn.ru/aromatherapy,/aromatherapy,other,deindex_or_archive,offtopic_wellness_archive,images_missing_alt,Ароматерапия и эмоциональное состояние | психолог Татьяна Мунн,0,Weakens psychology/EI entity; move out of main index unless rewritten with evidence and boundaries.
https://moonn.ru/article_diary_of_emotions,/article_diary_of_emotions,article,public_support,content_support,images_missing_alt,Дневник эмоций | Татьяна Мунн,0,Article/supporting content; assign to one pillar before strengthening.
https://moonn.ru/article_femininity,/article_femininity,article,public_support,content_support,images_missing_alt,Женственность в отношениях | Татьяна Мунн,0,Article/supporting content; assign to one pillar before strengthening.
https://moonn.ru/article_gadget_addiction,/article_gadget_addiction,article,public_core,teen_exam_family,images_missing_alt,Зависимость подростков от гаджетов | Татьяна Мунн,0,"Core lane for adolescents, exams, parents and study stress."
https://moonn.ru/article_toxic_job,/article_toxic_job,article,public_support,content_support,images_missing_alt,Негативные эмоции на работе | Татьяна Мунн,0,Article/supporting content; assign to one pillar before strengthening.
https://moonn.ru/articles/eq-dlya-rukovoditeley,/articles/eq-dlya-rukovoditeley,article,public_core,emotional_intelligence_leadership,images_missing_alt,Эмоциональный интеллект руководителя | Татьяна Мунн,0,"Core authority lane for EI, leadership, speaking and soft skills."
https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,/baza-znaniy-emocionalnyy-intellekt-psihologiya,other,review,unassigned_public,images_missing_alt,База знаний по психологии и эмоциональному интеллекту | психолог,0,Open URL needs manual cluster decision.
https://moonn.ru/call,/call,legal_or_service,public_keep_no_seo,legal_or_transactional,"images_missing_alt, missing_description, missing_h1, missing_og_image, short_title",Blank page,0,"Keep accessible, exclude from positioning."
https://moonn.ru/depressivnoe-sostoyanie,/depressivnoe-sostoyanie,other,public_core,private_practice,"duplicate_description, images_missing_alt, long_title, missing_h1","Депрессивное состояние и апатия. Помощь психолога - Татьяна Мунн (высокий рейтинг, быстрые результаты).",0,Core commercial search lane for consultations and adult states.
https://moonn.ru/eintellect,/eintellect,other,review,unassigned_public,"duplicate_description, duplicate_title, images_missing_alt",Эмоциональный интеллект | психолог Татьяна Мунн,0,Open URL needs manual cluster decision.
https://moonn.ru/emotional-intelligence/,/emotional-intelligence,other,public_core,emotional_intelligence_leadership,"duplicate_description, duplicate_title, images_missing_alt, missing_h1",Эмоциональный интеллект | психолог Татьяна Мунн,0,"Core authority lane for EI, leadership, speaking and soft skills."
